alert_id,timestamp,employee_id,hostname,severity,alert_type,mitre_attack,source_ip,destination_ip,description
ALT000028,2026-07-21 06:40:28.129773,EMP00337,HOST0186,Critical,Ransomware Activity,T1562,192.168.75.186,10.9.4.72,Data Exfiltration detected on HOST0186
ALT000029,2026-07-26 04:51:28.129773,EMP00309,HOST0029,High,Data Exfiltration,T1059,172.16.250.158,10.240.19.180,Credential Dumping detected on HOST0029
ALT000030,2026-05-30 00:55:28.129773,EMP00158,HOST0015,Critical,Malware Detection,T1021,10.117.184.183,10.209.249.110,Ransomware Activity detected on HOST0015
ALT000031,2026-05-21 17:27:28.129773,EMP00178,HOST0159,Low,Privilege Escalation,T1021,192.168.241.38,10.209.184.170,Ransomware Activity detected on HOST0159
ALT000032,2026-05-17 01:55:28.129773,EMP00308,HOST0098,High,Data Exfiltration,T1486,192.168.71.6,10.224.224.86,Ransomware Activity detected on HOST0098
ALT000033,2026-07-27 04:47:28.129773,EMP00174,HOST0088,Medium,Credential Dumping,T1021,10.174.200.165,10.212.115.219,Privilege Escalation detected on HOST0088
ALT000034,2026-06-22 10:55:28.129773,EMP00385,HOST0183,Medium,Privilege Escalation,T1021,172.16.184.36,10.250.120.169,Credential Dumping detected on HOST0183
ALT000035,2026-06-20 03:30:28.129773,EMP00128,HOST0060,Low,Failed Login,T1078,172.29.56.134,10.236.219.235,Malware Detection detected on HOST0060
ALT000036,2026-07-24 01:33:28.129773,EMP00008,HOST0054,Medium,Failed Login,T1003,10.183.212.164,10.235.132.49,Suspicious PowerShell detected on HOST0054
ALT000037,2026-05-16 01:57:28.129773,EMP00183,HOST0045,Medium,Credential Dumping,T1078,192.168.92.55,10.56.200.69,Failed Login detected on HOST0045
ALT000038,2026-06-12 17:52:28.129773,EMP00135,HOST0021,High,Credential Dumping,T1078,10.202.59.147,10.231.150.3,Malware Detection detected on HOST0021
ALT000039,2026-05-08 17:32:28.129773,EMP00396,HOST0140,Medium,Failed Login,T1059,192.168.184.80,10.117.167.146,Failed Login detected on HOST0140
ALT000040,2026-07-26 09:16:28.129773,EMP00143,HOST0076,Low,Data Exfiltration,T1003,172.30.255.206,10.16.206.214,Malware Detection detected on HOST0076
ALT000041,2026-06-30 02:34:28.129773,EMP00011,HOST0058,Critical,Malware Detection,T1041,172.16.253.54,10.22.5.61,Suspicious PowerShell detected on HOST0058
ALT000042,2026-06-03 20:59:28.129773,EMP00305,HOST0199,Critical,Malware Detection,T1041,10.151.152.72,10.65.215.213,Malware Detection detected on HOST0199
ALT000043,2026-06-24 18:37:28.129773,EMP00261,HOST0143,Low,Malware Detection,T1021,10.50.107.133,10.165.148.52,Suspicious PowerShell detected on HOST0143
ALT000044,2026-06-02 04:56:28.129773,EMP00490,HOST0014,Medium,Credential Dumping,T1003,10.71.6.227,10.99.163.214,Malware Detection detected on HOST0014
ALT000045,2026-07-16 15:11:28.129773,EMP00211,HOST0026,High,Suspicious PowerShell,T1486,10.74.147.105,10.120.0.90,Privilege Escalation detected on HOST0026
ALT000046,2026-07-07 23:38:28.129773,EMP00210,HOST0119,Critical,Ransomware Activity,T1003,10.167.108.199,10.11.62.239,Ransomware Activity detected on HOST0119
ALT000047,2026-06-30 05:49:28.129773,EMP00189,HOST0021,Low,Data Exfiltration,T1486,10.202.59.147,10.91.81.236,Suspicious PowerShell detected on HOST0021
ALT000048,2026-07-18 02:35:28.129773,EMP00263,HOST0073,Medium,Data Exfiltration,T1486,192.168.187.229,10.13.234.131,Privilege Escalation detected on HOST0073
ALT000049,2026-06-26 00:25:28.129773,EMP00404,HOST0153,High,Ransomware Activity,T1562,192.168.220.250,10.185.206.190,Failed Login detected on HOST0153
ALT000050,2026-05-20 13:32:28.129773,EMP00454,HOST0136,Critical,Ransomware Activity,T1041,192.168.139.227,10.46.141.116,Suspicious PowerShell detected on HOST0136
ALT000051,2026-05-25 22:01:28.129773,EMP00310,HOST0097,Critical,Ransomware Activity,T1486,172.17.153.30,10.153.91.4,Ransomware Activity detected on HOST0097
ALT000052,2026-06-07 03:16:28.129773,EMP00217,HOST0012,Low,Ransomware Activity,T1021,172.24.79.64,10.83.173.40,Ransomware Activity detected on HOST0012
ALT000053,2026-05-14 01:32:28.129773,EMP00036,HOST0171,Medium,Credential Dumping,T1041,10.210.1.162,10.222.156.15,Suspicious PowerShell detected on HOST0171
ALT000054,2026-07-04 01:17:28.129773,EMP00442,HOST0140,High,Suspicious PowerShell,T1003,192.168.184.80,10.229.69.247,Ransomware Activity detected on HOST0140
ALT000055,2026-06-17 05:02:28.129773,EMP00216,HOST0153,High,Credential Dumping,T1041,192.168.220.250,10.5.75.1,Ransomware Activity detected on HOST0153
ALT000056,2026-06-02 10:27:28.129773,EMP00404,HOST0099,Medium,Credential Dumping,T1486,172.27.107.244,10.255.148.94,Malware Detection detected on HOST0099
ALT000057,2026-07-23 18:55:28.129773,EMP00057,HOST0115,High,Data Exfiltration,T1041,172.18.208.69,10.7.255.235,Suspicious PowerShell detected on HOST0115
ALT000058,2026-07-12 14:00:28.129773,EMP00456,HOST0096,Low,Credential Dumping,T1003,192.168.208.131,10.169.161.47,Malware Detection detected on HOST0096
ALT000059,2026-06-29 19:32:28.129773,EMP00042,HOST0200,High,Suspicious PowerShell,T1003,172.26.59.201,10.192.40.87,Malware Detection detected on HOST0200
ALT000060,2026-05-10 22:39:28.129773,EMP00299,HOST0040,Medium,Ransomware Activity,T1562,10.86.134.114,10.193.5.123,Failed Login detected on HOST0040
ALT000061,2026-05-18 10:00:28.129773,EMP00428,HOST0129,High,Suspicious PowerShell,T1078,10.16.115.133,10.191.92.98,Credential Dumping detected on HOST0129
ALT000062,2026-05-29 02:52:28.129773,EMP00107,HOST0165,Low,Malware Detection,T1021,172.27.63.54,10.246.169.126,Data Exfiltration detected on HOST0165
ALT000063,2026-07-07 00:56:28.129773,EMP00232,HOST0098,Critical,Credential Dumping,T1021,192.168.71.6,10.75.230.142,Credential Dumping detected on HOST0098
ALT000064,2026-07-07 09:45:28.129773,EMP00245,HOST0166,Critical,Suspicious PowerShell,T1562,192.168.194.182,10.208.173.229,Suspicious PowerShell detected on HOST0166
ALT000065,2026-07-23 16:38:28.129773,EMP00192,HOST0118,Low,Ransomware Activity,T1486,192.168.197.92,10.59.242.14,Suspicious PowerShell detected on HOST0118
ALT000066,2026-07-25 02:27:28.129773,EMP00403,HOST0009,Low,Credential Dumping,T1021,192.168.49.184,10.187.121.42,Credential Dumping detected on HOST0009
ALT000067,2026-05-02 11:57:28.129773,EMP00107,HOST0178,Medium,Ransomware Activity,T1041,10.241.195.158,10.47.109.221,Ransomware Activity detected on HOST0178
ALT000068,2026-05-30 19:27:28.129773,EMP00489,HOST0026,Medium,Failed Login,T1486,10.74.147.105,10.91.94.197,Data Exfiltration detected on HOST0026
ALT000069,2026-06-14 02:27:28.129773,EMP00446,HOST0053,Medium,Suspicious PowerShell,T1003,192.168.23.122,10.45.228.173,Ransomware Activity detected on HOST0053
ALT000070,2026-05-05 16:03:28.129773,EMP00416,HOST0196,Low,Credential Dumping,T1041,10.232.136.91,10.83.201.69,Malware Detection detected on HOST0196
ALT000071,2026-07-04 16:10:28.129773,EMP00214,HOST0146,Critical,Data Exfiltration,T1078,172.18.132.194,10.249.53.15,Data Exfiltration detected on HOST0146
ALT000072,2026-05-01 04:31:28.129773,EMP00071,HOST0110,Medium,Ransomware Activity,T1059,192.168.86.35,10.184.4.170,Data Exfiltration detected on HOST0110
ALT000073,2026-05-30 09:00:28.129773,EMP00183,HOST0041,High,Credential Dumping,T1078,172.19.148.238,10.59.243.73,Privilege Escalation detected on HOST0041
ALT000074,2026-07-24 16:43:28.129773,EMP00180,HOST0138,High,Privilege Escalation,T1003,10.180.113.202,10.95.116.173,Suspicious PowerShell detected on HOST0138
ALT000075,2026-07-19 00:59:28.129773,EMP00099,HOST0009,Critical,Malware Detection,T1021,192.168.49.184,10.126.135.49,Suspicious PowerShell detected on HOST0009
ALT000076,2026-05-25 06:16:28.129773,EMP00156,HOST0116,Critical,Failed Login,T1059,172.30.174.144,10.200.219.109,Malware Detection detected on HOST0116
ALT000077,2026-05-22 11:41:28.129773,EMP00343,HOST0001,High,Suspicious PowerShell,T1003,192.168.71.161,10.211.190.143,Suspicious PowerShell detected on HOST0001
ALT000078,2026-07-25 22:17:28.129773,EMP00136,HOST0161,Critical,Malware Detection,T1041,10.155.22.224,10.149.89.30,Privilege Escalation detected on HOST0161
ALT000079,2026-06-22 12:12:28.129773,EMP00389,HOST0079,High,Ransomware Activity,T1078,10.251.254.223,10.237.165.26,Ransomware Activity detected on HOST0079
ALT000080,2026-07-18 02:26:28.129773,EMP00477,HOST0189,Critical,Failed Login,T1003,192.168.71.129,10.25.30.56,Ransomware Activity detected on HOST0189
ALT000081,2026-05-04 17:03:28.129773,EMP00009,HOST0179,Medium,Ransomware Activity,T1562,10.254.199.99,10.91.44.45,Ransomware Activity detected on HOST0179
ALT000082,2026-06-29 17:03:28.129773,EMP00042,HOST0128,Low,Ransomware Activity,T1041,10.225.120.6,10.71.21.198,Credential Dumping detected on HOST0128
ALT000083,2026-05-26 12:07:28.129773,EMP00035,HOST0159,Critical,Privilege Escalation,T1059,192.168.241.38,10.255.225.79,Malware Detection detected on HOST0159
ALT000084,2026-05-23 20:34:28.129773,EMP00150,HOST0006,Critical,Malware Detection,T1003,192.168.176.37,10.137.22.6,Data Exfiltration detected on HOST0006
ALT000085,2026-06-13 05:36:28.129773,EMP00452,HOST0123,Critical,Credential Dumping,T1059,172.18.221.153,10.155.109.233,Suspicious PowerShell detected on HOST0123
ALT000086,2026-05-13 06:23:28.129773,EMP00444,HOST0099,Medium,Ransomware Activity,T1041,172.27.107.244,10.36.57.39,Suspicious PowerShell detected on HOST0099
ALT000087,2026-05-19 14:57:28.129773,EMP00143,HOST0098,Low,Credential Dumping,T1078,192.168.71.6,10.60.189.237,Data Exfiltration detected on HOST0098
ALT000088,2026-06-25 07:48:28.129773,EMP00059,HOST0186,High,Ransomware Activity,T1021,192.168.75.186,10.40.93.115,Failed Login detected on HOST0186
ALT000089,2026-07-05 04:45:28.129773,EMP00056,HOST0073,Low,Privilege Escalation,T1003,192.168.187.229,10.50.174.71,Credential Dumping detected on HOST0073
ALT000090,2026-06-17 22:13:28.129773,EMP00018,HOST0099,Medium,Suspicious PowerShell,T1059,172.27.107.244,10.94.70.171,Ransomware Activity detected on HOST0099
ALT000091,2026-05-05 08:54:28.129773,EMP00384,HOST0175,Low,Data Exfiltration,T1041,10.250.177.124,10.254.65.214,Credential Dumping detected on HOST0175
ALT000092,2026-05-24 09:23:28.129773,EMP00479,HOST0119,Critical,Malware Detection,T1562,10.167.108.199,10.218.192.91,Data Exfiltration detected on HOST0119
ALT000093,2026-07-09 10:41:28.129773,EMP00117,HOST0036,High,Failed Login,T1562,192.168.106.62,10.98.176.144,Malware Detection detected on HOST0036
ALT000094,2026-06-04 23:33:28.129773,EMP00216,HOST0044,Low,Credential Dumping,T1041,172.30.182.145,10.22.127.152,Privilege Escalation detected on HOST0044
ALT000095,2026-07-26 12:00:28.129773,EMP00147,HOST0023,High,Suspicious PowerShell,T1486,10.208.130.22,10.242.238.238,Privilege Escalation detected on HOST0023
ALT000096,2026-05-19 12:17:28.129773,EMP00479,HOST0147,Critical,Privilege Escalation,T1021,192.168.129.81,10.77.134.251,Failed Login detected on HOST0147
ALT000097,2026-07-16 16:49:28.129773,EMP00272,HOST0174,High,Suspicious PowerShell,T1021,172.29.249.69,10.148.83.11,Malware Detection detected on HOST0174
ALT000098,2026-06-14 06:47:28.129773,EMP00280,HOST0169,Low,Data Exfiltration,T1059,10.16.132.237,10.244.59.210,Data Exfiltration detected on HOST0169
ALT000099,2026-07-13 02:41:28.129773,EMP00450,HOST0138,Medium,Malware Detection,T1059,10.180.113.202,10.168.143.39,Ransomware Activity detected on HOST0138
ALT000100,2026-07-14 08:28:28.129773,EMP00377,HOST0157,High,Malware Detection,T1041,10.188.99.152,10.148.227.170,Credential Dumping detected on HOST0157
ALT000101,2026-05-07 12:32:28.129773,EMP00348,HOST0096,Medium,Data Exfiltration,T1021,192.168.208.131,10.32.187.130,Ransomware Activity detected on HOST0096
ALT000102,2026-07-04 20:34:28.129773,EMP00191,HOST0096,Medium,Ransomware Activity,T1003,192.168.208.131,10.240.192.101,Data Exfiltration detected on HOST0096
ALT000103,2026-06-18 22:29:28.129773,EMP00436,HOST0130,Medium,Failed Login,T1003,192.168.215.226,10.127.124.25,Data Exfiltration detected on HOST0130
ALT000104,2026-07-18 05:45:28.129773,EMP00058,HOST0177,Low,Data Exfiltration,T1562,172.31.94.37,10.106.21.7,Malware Detection detected on HOST0177
ALT000105,2026-06-16 01:29:28.129773,EMP00425,HOST0108,High,Malware Detection,T1003,10.139.8.132,10.127.193.80,Credential Dumping detected on HOST0108
ALT000106,2026-04-30 06:23:28.129773,EMP00475,HOST0128,High,Failed Login,T1486,10.225.120.6,10.186.44.232,Malware Detection detected on HOST0128
ALT000107,2026-07-07 04:30:28.129773,EMP00044,HOST0063,Low,Privilege Escalation,T1003,192.168.20.5,10.38.212.86,Failed Login detected on HOST0063
ALT000108,2026-06-30 23:10:28.129773,EMP00254,HOST0066,Critical,Data Exfiltration,T1059,172.20.152.93,10.187.109.192,Ransomware Activity detected on HOST0066
ALT000109,2026-06-17 17:27:28.129773,EMP00294,HOST0185,Medium,Data Exfiltration,T1562,192.168.97.143,10.249.176.166,Failed Login detected on HOST0185
ALT000110,2026-05-21 09:15:28.129773,EMP00334,HOST0109,High,Failed Login,T1562,172.17.94.28,10.144.88.248,Ransomware Activity detected on HOST0109
ALT000111,2026-05-29 21:14:28.129773,EMP00426,HOST0149,Low,Ransomware Activity,T1021,10.35.252.222,10.190.195.170,Privilege Escalation detected on HOST0149
ALT000112,2026-07-15 01:14:28.129773,EMP00092,HOST0143,Critical,Malware Detection,T1078,10.50.107.133,10.26.184.177,Failed Login detected on HOST0143
ALT000113,2026-06-08 11:01:28.129773,EMP00203,HOST0039,Critical,Suspicious PowerShell,T1562,172.16.179.249,10.37.233.220,Credential Dumping detected on HOST0039
ALT000114,2026-06-23 18:51:28.129773,EMP00118,HOST0018,Medium,Suspicious PowerShell,T1059,10.165.57.45,10.231.242.86,Ransomware Activity detected on HOST0018
ALT000115,2026-07-22 05:44:28.129773,EMP00354,HOST0013,Low,Malware Detection,T1486,192.168.166.223,10.65.116.97,Suspicious PowerShell detected on HOST0013
ALT000116,2026-05-19 08:13:28.129773,EMP00418,HOST0089,High,Credential Dumping,T1078,172.18.197.160,10.222.99.174,Suspicious PowerShell detected on HOST0089
ALT000117,2026-06-12 03:04:28.129773,EMP00057,HOST0122,Critical,Privilege Escalation,T1486,192.168.166.174,10.29.223.164,Failed Login detected on HOST0122
ALT000118,2026-06-06 21:56:28.129773,EMP00032,HOST0158,Low,Malware Detection,T1041,10.84.211.47,10.138.66.139,Data Exfiltration detected on HOST0158
ALT000119,2026-05-06 06:03:28.129773,EMP00086,HOST0056,Critical,Privilege Escalation,T1562,172.16.238.134,10.226.129.44,Malware Detection detected on HOST0056
ALT000120,2026-06-16 08:05:28.129773,EMP00454,HOST0036,High,Ransomware Activity,T1486,192.168.106.62,10.59.171.185,Failed Login detected on HOST0036
ALT000121,2026-07-27 14:39:28.129773,EMP00069,HOST0048,Medium,Credential Dumping,T1486,172.30.126.198,10.36.8.114,Ransomware Activity detected on HOST0048
ALT000122,2026-05-06 05:01:28.129773,EMP00361,HOST0025,High,Ransomware Activity,T1078,10.59.194.182,10.212.94.134,Ransomware Activity detected on HOST0025
ALT000123,2026-06-06 19:51:28.129773,EMP00298,HOST0121,Medium,Suspicious PowerShell,T1003,10.64.149.201,10.174.66.217,Failed Login detected on HOST0121
ALT000124,2026-06-20 05:54:28.129773,EMP00282,HOST0007,High,Suspicious PowerShell,T1041,10.15.202.115,10.253.76.5,Ransomware Activity detected on HOST0007
ALT000125,2026-05-21 20:58:28.129773,EMP00043,HOST0154,Medium,Privilege Escalation,T1078,172.31.206.108,10.159.233.54,Failed Login detected on HOST0154
ALT000126,2026-05-29 04:29:28.129773,EMP00144,HOST0015,Low,Privilege Escalation,T1003,10.117.184.183,10.63.223.187,Privilege Escalation detected on HOST0015
ALT000127,2026-06-20 14:07:28.129773,EMP00142,HOST0199,High,Data Exfiltration,T1059,10.151.152.72,10.172.54.18,Data Exfiltration detected on HOST0199
ALT000128,2026-05-01 13:12:28.129773,EMP00170,HOST0105,Critical,Credential Dumping,T1486,172.26.135.143,10.107.234.196,Suspicious PowerShell detected on HOST0105
ALT000129,2026-04-30 12:03:28.129773,EMP00441,HOST0006,Medium,Credential Dumping,T1562,192.168.176.37,10.72.69.148,Privilege Escalation detected on HOST0006
ALT000130,2026-07-02 20:40:28.129773,EMP00306,HOST0010,Low,Data Exfiltration,T1562,10.22.239.109,10.203.111.238,Credential Dumping detected on HOST0010
ALT000131,2026-05-28 04:16:28.129773,EMP00226,HOST0001,Critical,Privilege Escalation,T1041,192.168.71.161,10.242.120.235,Failed Login detected on HOST0001
ALT000132,2026-07-27 06:25:28.129773,EMP00475,HOST0084,High,Data Exfiltration,T1486,172.25.75.99,10.168.88.26,Failed Login detected on HOST0084
ALT000133,2026-05-12 14:15:28.129773,EMP00079,HOST0058,Low,Credential Dumping,T1003,172.16.253.54,10.98.94.1,Suspicious PowerShell detected on HOST0058
ALT000134,2026-07-27 18:21:28.129773,EMP00222,HOST0048,High,Suspicious PowerShell,T1078,172.30.126.198,10.109.214.158,Privilege Escalation detected on HOST0048
ALT000135,2026-05-19 17:45:28.129773,EMP00442,HOST0174,High,Ransomware Activity,T1562,172.29.249.69,10.99.207.142,Failed Login detected on HOST0174
ALT000136,2026-07-24 16:20:28.129773,EMP00071,HOST0122,High,Privilege Escalation,T1003,192.168.166.174,10.192.207.14,Data Exfiltration detected on HOST0122
ALT000137,2026-07-12 05:19:28.129773,EMP00194,HOST0119,Medium,Privilege Escalation,T1003,10.167.108.199,10.212.181.142,Suspicious PowerShell detected on HOST0119
ALT000138,2026-05-23 01:06:28.129773,EMP00166,HOST0120,Medium,Privilege Escalation,T1059,10.56.15.36,10.237.188.140,Failed Login detected on HOST0120
ALT000139,2026-07-26 01:06:28.129773,EMP00470,HOST0176,High,Malware Detection,T1486,172.28.18.230,10.71.132.24,Suspicious PowerShell detected on HOST0176
ALT000140,2026-06-14 02:07:28.129773,EMP00344,HOST0163,Medium,Privilege Escalation,T1562,172.23.44.28,10.223.41.62,Credential Dumping detected on HOST0163
ALT000141,2026-07-25 15:18:28.129773,EMP00287,HOST0137,Medium,Suspicious PowerShell,T1059,192.168.0.155,10.38.26.144,Failed Login detected on HOST0137
ALT000142,2026-06-20 01:29:28.129773,EMP00244,HOST0188,Low,Malware Detection,T1078,172.28.254.122,10.94.178.145,Credential Dumping detected on HOST0188
ALT000143,2026-06-19 16:45:28.129773,EMP00004,HOST0037,High,Credential Dumping,T1041,192.168.111.148,10.126.23.87,Malware Detection detected on HOST0037
ALT000144,2026-07-02 20:59:28.129773,EMP00485,HOST0090,High,Malware Detection,T1078,172.30.238.182,10.93.7.144,Failed Login detected on HOST0090
ALT000145,2026-05-07 13:38:28.129773,EMP00475,HOST0045,Low,Suspicious PowerShell,T1059,192.168.92.55,10.205.104.206,Ransomware Activity detected on HOST0045
ALT000146,2026-06-19 23:41:28.129773,EMP00038,HOST0171,Critical,Credential Dumping,T1486,10.210.1.162,10.238.254.53,Ransomware Activity detected on HOST0171
ALT000147,2026-06-01 22:41:28.129773,EMP00129,HOST0145,Critical,Failed Login,T1021,172.20.1.233,10.113.155.196,Credential Dumping detected on HOST0145
ALT000148,2026-05-11 06:02:28.129773,EMP00218,HOST0091,Medium,Suspicious PowerShell,T1003,172.28.243.249,10.110.167.36,Suspicious PowerShell detected on HOST0091
ALT000149,2026-06-29 06:27:28.129773,EMP00454,HOST0048,Low,Malware Detection,T1078,172.30.126.198,10.78.165.15,Privilege Escalation detected on HOST0048
ALT000150,2026-06-16 08:21:28.129773,EMP00216,HOST0098,Low,Suspicious PowerShell,T1041,192.168.71.6,10.120.2.110,Malware Detection detected on HOST0098
ALT000151,2026-06-12 08:27:28.129773,EMP00409,HOST0035,Low,Privilege Escalation,T1562,172.24.103.163,10.30.155.51,Data Exfiltration detected on HOST0035
ALT000152,2026-06-28 15:58:28.129773,EMP00368,HOST0035,High,Credential Dumping,T1562,172.24.103.163,10.102.181.143,Data Exfiltration detected on HOST0035
ALT000153,2026-05-26 02:22:28.129773,EMP00160,HOST0096,Medium,Ransomware Activity,T1059,192.168.208.131,10.21.233.34,Data Exfiltration detected on HOST0096
ALT000154,2026-07-15 13:15:28.129773,EMP00164,HOST0071,High,Malware Detection,T1486,10.145.18.196,10.231.171.38,Privilege Escalation detected on HOST0071
ALT000155,2026-06-17 03:17:28.129773,EMP00037,HOST0122,Low,Ransomware Activity,T1021,192.168.166.174,10.1.212.107,Malware Detection detected on HOST0122
ALT000156,2026-05-05 21:05:28.129773,EMP00252,HOST0056,Medium,Malware Detection,T1078,172.16.238.134,10.190.33.73,Failed Login detected on HOST0056
ALT000157,2026-06-16 06:56:28.129773,EMP00188,HOST0034,High,Privilege Escalation,T1562,192.168.32.131,10.60.141.71,Data Exfiltration detected on HOST0034
ALT000158,2026-07-04 16:12:28.129773,EMP00499,HOST0158,High,Failed Login,T1059,10.84.211.47,10.217.104.51,Failed Login detected on HOST0158
ALT000159,2026-06-16 13:14:28.129773,EMP00375,HOST0122,Critical,Credential Dumping,T1003,192.168.166.174,10.101.53.189,Malware Detection detected on HOST0122
ALT000160,2026-06-24 16:20:28.129773,EMP00276,HOST0051,High,Credential Dumping,T1078,192.168.155.144,10.242.0.68,Privilege Escalation detected on HOST0051
ALT000161,2026-06-08 13:29:28.129773,EMP00462,HOST0094,Critical,Credential Dumping,T1059,10.1.42.47,10.184.55.246,Malware Detection detected on HOST0094
ALT000162,2026-06-21 15:51:28.129773,EMP00225,HOST0133,High,Data Exfiltration,T1486,10.88.43.111,10.237.140.172,Credential Dumping detected on HOST0133
ALT000163,2026-05-05 02:22:28.129773,EMP00362,HOST0005,High,Privilege Escalation,T1562,10.180.255.199,10.118.52.202,Suspicious PowerShell detected on HOST0005
ALT000164,2026-06-24 17:55:28.129773,EMP00166,HOST0088,Critical,Credential Dumping,T1003,10.174.200.165,10.210.228.104,Failed Login detected on HOST0088
ALT000165,2026-06-09 07:18:28.129773,EMP00250,HOST0092,Medium,Data Exfiltration,T1562,192.168.124.29,10.103.114.212,Privilege Escalation detected on HOST0092
ALT000166,2026-07-12 04:49:28.129773,EMP00239,HOST0013,Critical,Credential Dumping,T1041,192.168.166.223,10.136.103.189,Failed Login detected on HOST0013
ALT000167,2026-06-12 11:27:28.129773,EMP00131,HOST0146,Medium,Ransomware Activity,T1003,172.18.132.194,10.233.249.185,Privilege Escalation detected on HOST0146
ALT000168,2026-05-08 18:17:28.129773,EMP00246,HOST0075,Medium,Suspicious PowerShell,T1041,172.24.44.28,10.213.84.95,Credential Dumping detected on HOST0075
ALT000169,2026-07-14 01:11:28.129773,EMP00043,HOST0083,Critical,Credential Dumping,T1003,172.19.241.227,10.205.160.188,Data Exfiltration detected on HOST0083
